GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022200188,2022-11-12,atlanta hawks,philadelphia 76ers,109,121,0.449,0.55,20,24,43,31,18,12,-12.0,12.0,0
0022200189,2022-11-12,charlotte hornets,miami heat,115,132,0.511,0.527,25,32,37,46,12,12,-17.0,17.0,0
0022200190,2022-11-12,dallas mavericks,portland trail blazers,117,112,0.506,0.45,26,20,40,44,11,12,5.0,-5.0,1
0022200191,2022-11-12,houston rockets,new orleans pelicans,106,119,0.506,0.488,24,28,43,36,26,12,-13.0,13.0,0
0022200192,2022-11-13,new york knicks,oklahoma city thunder,135,145,0.495,0.625,25,31,35,38,13,19,-10.0,10.0,0
0022200193,2022-11-13,cleveland cavaliers,minnesota timberwolves,124,129,0.449,0.561,22,30,40,47,10,13,-5.0,5.0,0
0022200194,2022-11-13,memphis grizzlies,washington wizards,92,102,0.396,0.419,21,26,51,47,16,15,-10.0,10.0,0
0022200195,2022-11-13,philadelphia 76ers,utah jazz,105,98,0.482,0.394,21,23,39,50,12,17,7.0,-7.0,1
0022200196,2022-11-13,chicago bulls,denver nuggets,103,126,0.494,0.6,24,33,36,36,18,16,-23.0,23.0,0
0022200197,2022-11-13,golden state warriors,sacramento kings,115,122,0.467,0.516,27,31,43,45,18,15,-7.0,7.0,0
0022200198,2022-11-13,brooklyn nets,los angeles lakers,103,116,0.45,0.484,22,25,41,45,12,9,-13.0,13.0,0
0022200199,2022-11-14,detroit pistons,toronto raptors,111,115,0.455,0.488,23,27,39,42,19,17,-4.0,4.0,0
0022200200,2022-11-14,charlotte hornets,orlando magic,112,105,0.477,0.409,22,23,37,48,12,22,7.0,-7.0,1
0022200201,2022-11-14,boston celtics,oklahoma city thunder,126,122,0.479,0.48,25,21,46,51,14,19,4.0,-4.0,1
0022200202,2022-11-14,miami heat,phoenix suns,113,112,0.458,0.485,23,22,42,45,14,11,1.0,-1.0,1
0022200203,2022-11-14,houston rockets,la clippers,106,122,0.453,0.506,20,25,40,44,14,16,-16.0,16.0,0
0022200204,2022-11-14,atlanta hawks,milwaukee bucks,121,106,0.478,0.415,23,21,45,46,9,15,15.0,-15.0,1
0022200205,2022-11-14,golden state warriors,san antonio spurs,132,95,0.534,0.36,35,18,40,53,12,18,37.0,-37.0,1
0022200206,2022-11-15,memphis grizzlies,new orleans pelicans,102,113,0.413,0.473,16,31,51,43,11,10,-11.0,11.0,0
0022200207,2022-11-15,dallas mavericks,la clippers,103,101,0.438,0.531,20,23,34,40,12,21,2.0,-2.0,1
0022200208,2022-11-15,new york knicks,utah jazz,118,111,0.473,0.434,26,29,43,49,12,20,7.0,-7.0,1
0022200209,2022-11-15,portland trail blazers,san antonio spurs,117,110,0.519,0.518,22,34,39,38,15,19,7.0,-7.0,1
0022200210,2022-11-15,brooklyn nets,sacramento kings,121,153,0.494,0.596,25,39,29,43,17,16,-32.0,32.0,0
0022200211,2022-11-16,charlotte hornets,indiana pacers,113,125,0.457,0.537,29,27,44,34,17,12,-12.0,12.0,0
0022200212,2022-11-16,minnesota timberwolves,orlando magic,126,108,0.523,0.452,28,21,40,47,10,16,18.0,-18.0,1
0022200213,2022-11-16,oklahoma city thunder,washington wizards,121,120,0.543,0.512,24,32,37,41,15,19,1.0,-1.0,1
