GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Home,Team1Win
0022000122,2021-01-07,minnesota timberwolves,portland trail blazers,117,135,0.419,0.544,24,25,48,44,16,15,-18.0,18.0,0,0
0022000123,2021-01-08,detroit pistons,phoenix suns,110,105,0.411,0.451,23,24,46,50,14,21,5.0,-5.0,1,1
0022000124,2021-01-08,boston celtics,washington wizards,116,107,0.477,0.466,21,22,49,38,21,17,9.0,-9.0,1,1
0022000125,2021-01-08,new york knicks,oklahoma city thunder,89,101,0.354,0.437,19,16,49,62,4,11,-12.0,12.0,1,0
0022000126,2021-01-08,charlotte hornets,new orleans pelicans,118,110,0.471,0.494,33,29,45,36,14,19,8.0,-8.0,0,1
0022000127,2021-01-08,houston rockets,orlando magic,132,90,0.56,0.382,34,17,49,42,8,12,42.0,-42.0,1,1
0022000128,2021-01-08,brooklyn nets,memphis grizzlies,110,115,0.469,0.459,26,29,42,46,20,12,-5.0,5.0,0,0
0022000129,2021-01-08,milwaukee bucks,utah jazz,118,131,0.449,0.505,18,31,45,50,12,10,-13.0,13.0,1,0
0022000130,2021-01-08,golden state warriors,la clippers,115,105,0.488,0.482,25,23,38,37,15,18,10.0,-10.0,1,1
0022000131,2021-01-08,chicago bulls,los angeles lakers,115,117,0.505,0.506,26,21,41,42,12,15,-2.0,2.0,0,0
0022000132,2021-01-08,sacramento kings,toronto raptors,123,144,0.568,0.582,36,30,26,44,11,12,-21.0,21.0,1,0
0022000133,2021-01-09,denver nuggets,philadelphia 76ers,115,103,0.5,0.417,28,23,45,48,17,16,12.0,-12.0,0,1
0022000134,2021-01-09,atlanta hawks,charlotte hornets,105,113,0.382,0.519,25,27,47,41,14,15,-8.0,8.0,0,0
0022000135,2021-01-09,indiana pacers,phoenix suns,117,125,0.478,0.489,23,33,52,40,10,2,-8.0,8.0,1,0
0022000136,2021-01-09,miami heat,washington wizards,128,124,0.495,0.444,32,25,61,39,16,6,4.0,-4.0,0,1
0022000137,2021-01-09,cleveland cavaliers,milwaukee bucks,90,100,0.414,0.44,16,25,47,45,15,15,-10.0,10.0,0,0
0022000138,2021-01-09,minnesota timberwolves,san antonio spurs,122,125,0.5,0.436,29,22,53,48,16,6,-3.0,3.0,1,0
0022000139,2021-01-09,dallas mavericks,orlando magic,112,98,0.494,0.427,25,17,44,43,17,9,14.0,-14.0,1,1
0022000140,2021-01-09,portland trail blazers,sacramento kings,125,99,0.44,0.407,26,21,50,47,8,15,26.0,-26.0,0,1
0022000141,2021-01-10,detroit pistons,utah jazz,86,96,0.333,0.427,21,17,39,63,7,13,-10.0,10.0,1,0
0022000142,2021-01-10,chicago bulls,la clippers,127,130,0.61,0.489,30,28,38,35,22,10,-3.0,3.0,0,0
0022000143,2021-01-10,brooklyn nets,oklahoma city thunder,116,129,0.506,0.544,23,24,43,34,17,10,-13.0,13.0,1,0
0022000144,2021-01-10,denver nuggets,new york knicks,114,89,0.536,0.432,23,19,43,36,12,16,25.0,-25.0,0,1
0022000145,2021-05-09,boston celtics,miami heat,124,130,0.542,0.573,29,30,34,35,14,11,-6.0,6.0,1,0
0022000146,2021-01-10,houston rockets,los angeles lakers,102,120,0.411,0.505,22,28,43,49,21,16,-18.0,18.0,1,0
0022000147,2021-01-10,minnesota timberwolves,san antonio spurs,96,88,0.42,0.383,19,21,52,45,13,10,8.0,-8.0,1,1
0022000148,2021-01-10,golden state warriors,toronto raptors,106,105,0.409,0.406,30,20,51,48,15,10,1.0,-1.0,1,1
0022000149,2021-01-11,charlotte hornets,new york knicks,109,88,0.487,0.391,28,20,37,49,10,16,21.0,-21.0,1,1
0022000150,2021-01-11,cleveland cavaliers,memphis grizzlies,91,101,0.451,0.513,20,32,40,40,17,15,-10.0,10.0,1,0
0022000151,2021-01-11,milwaukee bucks,orlando magic,121,99,0.505,0.429,25,24,43,44,14,18,22.0,-22.0,0,1
0022000152,2021-01-11,phoenix suns,washington wizards,107,128,0.448,0.522,21,29,42,53,6,7,-21.0,21.0,0,0
0022000153,2021-01-11,atlanta hawks,philadelphia 76ers,112,94,0.374,0.402,20,20,58,50,8,9,18.0,-18.0,1,1
0022000154,2021-05-12,dallas mavericks,new orleans pelicans,125,107,0.49,0.414,23,18,48,44,8,12,18.0,-18.0,1,1
0022000155,2021-01-11,portland trail blazers,toronto raptors,112,111,0.458,0.449,18,27,42,43,13,15,1.0,-1.0,1,1
0022000156,2021-01-11,indiana pacers,sacramento kings,122,127,0.485,0.56,26,29,37,44,12,18,-5.0,5.0,0,0
0022000157,2021-01-12,miami heat,philadelphia 76ers,134,137,0.462,0.49,27,32,46,52,18,17,-3.0,3.0,0,0
0022000158,2021-01-12,brooklyn nets,denver nuggets,122,116,0.608,0.5,31,28,41,32,18,13,6.0,-6.0,1,1
0022000159,2021-01-12,cleveland cavaliers,utah jazz,87,117,0.389,0.5,23,26,40,48,12,16,-30.0,30.0,1,0
0022000160,2021-05-07,boston celtics,chicago bulls,99,121,0.407,0.434,19,26,47,52,13,9,-22.0,22.0,0,0
0022000161,2021-01-12,houston rockets,los angeles lakers,100,117,0.392,0.5,23,26,42,55,13,20,-17.0,17.0,1,0
0022000162,2021-01-12,oklahoma city thunder,san antonio spurs,102,112,0.434,0.432,18,26,52,46,13,4,-10.0,10.0,1,0
0022000163,2021-01-12,golden state warriors,indiana pacers,95,104,0.382,0.443,25,26,46,50,15,14,-9.0,9.0,1,0
0022000164,2021-01-13,charlotte hornets,dallas mavericks,93,104,0.38,0.417,26,22,53,54,11,10,-11.0,11.0,1,0
0022000165,2021-01-13,detroit pistons,milwaukee bucks,101,110,0.391,0.482,25,31,47,48,16,14,-9.0,9.0,1,0
0022000166,2021-03-18,utah jazz,washington wizards,122,131,0.458,0.547,19,23,47,43,16,13,-9.0,9.0,0,0
0022000167,2021-03-21,boston celtics,orlando magic,112,96,0.455,0.381,27,20,45,44,9,6,16.0,-16.0,1,1
0022000168,2021-01-13,brooklyn nets,new york knicks,116,109,0.484,0.478,29,22,46,43,6,9,7.0,-7.0,0,1
0022000169,2021-01-13,memphis grizzlies,minnesota timberwolves,118,107,0.472,0.433,33,27,47,48,7,12,11.0,-11.0,0,1
0022000170,2021-01-13,los angeles lakers,oklahoma city thunder,128,99,0.495,0.43,26,23,50,42,9,11,29.0,-29.0,0,1
0022000171,2021-03-30,atlanta hawks,phoenix suns,110,117,0.482,0.511,30,27,36,49,7,13,-7.0,7.0,0,0
0022000172,2021-01-13,la clippers,new orleans pelicans,111,106,0.473,0.477,26,18,36,48,10,9,5.0,-5.0,1,1
0022000173,2021-01-13,portland trail blazers,sacramento kings,132,126,0.489,0.524,28,35,38,42,8,13,6.0,-6.0,0,1
0022000174,2021-01-14,miami heat,philadelphia 76ers,108,125,0.494,0.537,28,27,41,35,20,18,-17.0,17.0,0,0
0022000175,2021-01-14,charlotte hornets,toronto raptors,108,111,0.483,0.455,32,33,44,40,18,17,-3.0,3.0,0,0
0022000176,2021-01-14,houston rockets,san antonio spurs,109,105,0.488,0.457,25,26,49,41,18,10,4.0,-4.0,0,1
0022000177,2021-01-14,denver nuggets,golden state warriors,114,104,0.456,0.469,29,29,50,43,13,19,10.0,-10.0,1,1
0022000178,2021-01-14,indiana pacers,portland trail blazers,111,87,0.478,0.368,29,16,50,43,12,18,24.0,-24.0,0,1
0022000179,2021-04-01,detroit pistons,washington wizards,120,91,0.479,0.471,31,25,48,40,13,14,29.0,-29.0,1,1
0022000180,2021-01-15,boston celtics,orlando magic,124,97,0.511,0.404,25,14,45,46,10,11,27.0,-27.0,1,1
0022000181,2021-01-15,cleveland cavaliers,new york knicks,106,103,0.456,0.488,26,20,48,39,15,12,3.0,-3.0,1,1
0022000182,2021-01-15,dallas mavericks,milwaukee bucks,109,112,0.464,0.448,22,22,51,57,9,10,-3.0,3.0,0,0
0022000183,2021-05-05,memphis grizzlies,minnesota timberwolves,139,135,0.536,0.521,30,32,46,41,13,14,4.0,-4.0,0,1
0022000184,2021-01-15,chicago bulls,oklahoma city thunder,125,127,0.473,0.457,27,26,56,44,24,11,-2.0,2.0,0,0
0022000185,2021-03-04,golden state warriors,phoenix suns,98,120,0.432,0.51,22,31,40,52,17,16,-22.0,22.0,0,0
0022000186,2021-01-15,atlanta hawks,utah jazz,92,116,0.413,0.467,21,27,41,53,15,19,-24.0,24.0,0,0
0022000187,2021-01-15,los angeles lakers,new orleans pelicans,112,95,0.419,0.477,31,22,44,47,6,20,17.0,-17.0,1,1
0022000188,2021-01-15,la clippers,sacramento kings,138,100,0.584,0.471,29,23,47,32,9,14,38.0,-38.0,0,1
0022000189,2021-01-16,houston rockets,san antonio spurs,91,103,0.369,0.4,20,19,51,58,22,12,-12.0,12.0,0,0
0022000190,2021-01-16,brooklyn nets,orlando magic,122,115,0.538,0.463,24,28,41,38,19,12,7.0,-7.0,1,1
0022000191,2021-01-16,charlotte hornets,toronto raptors,113,116,0.437,0.419,26,28,48,43,14,15,-3.0,3.0,0,0
0022000192,2021-01-16,detroit pistons,miami heat,120,100,0.505,0.478,34,25,39,31,11,22,20.0,-20.0,0,1
0022000193,2021-01-16,memphis grizzlies,philadelphia 76ers,106,104,0.434,0.44,27,23,43,53,11,22,2.0,-2.0,1,1
0022000194,2021-03-13,indiana pacers,phoenix suns,122,111,0.529,0.473,25,28,45,40,15,16,11.0,-11.0,0,1
0022000195,2021-01-16,atlanta hawks,portland trail blazers,106,112,0.437,0.388,24,18,48,55,13,7,-6.0,6.0,0,0
0022000196,2021-01-17,boston celtics,new york knicks,75,105,0.298,0.475,15,22,43,53,17,16,-30.0,30.0,1,0
0022000197,2021-04-25,cleveland cavaliers,washington wizards,110,119,0.513,0.483,28,25,37,36,19,10,-9.0,9.0,0,0
0022000198,2021-01-17,chicago bulls,dallas mavericks,117,101,0.506,0.441,32,18,47,47,13,16,16.0,-16.0,0,1
0022000199,2021-04-10,oklahoma city thunder,philadelphia 76ers,93,117,0.5,0.468,21,24,45,47,22,9,-24.0,24.0,1,0
0022000200,2021-01-17,denver nuggets,utah jazz,105,109,0.4,0.513,25,24,52,36,9,13,-4.0,4.0,1,0
0022000201,2021-01-17,new orleans pelicans,sacramento kings,128,123,0.529,0.516,24,23,48,33,13,10,5.0,-5.0,0,1
0022000202,2021-01-17,indiana pacers,la clippers,96,129,0.416,0.552,28,27,33,52,16,16,-33.0,33.0,0,0
0022000203,2021-01-18,new york knicks,orlando magic,91,84,0.356,0.337,15,18,53,51,6,11,7.0,-7.0,1,1
0022000204,2021-05-14,cleveland cavaliers,washington wizards,105,120,0.464,0.461,24,23,44,47,17,10,-15.0,15.0,0,0
0022000205,2021-01-18,atlanta hawks,minnesota timberwolves,108,97,0.468,0.396,32,22,48,39,24,18,11.0,-11.0,1,1
0022000206,2021-01-18,detroit pistons,miami heat,107,113,0.463,0.573,24,23,32,36,16,18,-6.0,6.0,0,0
0022000207,2021-01-18,portland trail blazers,san antonio spurs,104,125,0.433,0.533,20,33,34,48,13,12,-21.0,21.0,1,0
