GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100157,2021-11-09,la clippers,portland trail blazers,117,109,0.518,0.473,25,29,43,43,8,9,8.0,-8.0,1
0022100158,2021-11-10,cleveland cavaliers,washington wizards,94,97,0.461,0.417,21,25,40,49,14,12,-3.0,3.0,0
0022100159,2021-11-10,brooklyn nets,orlando magic,123,90,0.505,0.38,29,19,49,49,15,17,33.0,-33.0,1
0022100160,2021-11-10,boston celtics,toronto raptors,104,88,0.447,0.429,21,20,44,41,15,18,16.0,-16.0,1
0022100161,2021-11-10,milwaukee bucks,new york knicks,112,100,0.444,0.434,29,19,50,38,14,10,12.0,-12.0,1
0022100162,2021-11-10,detroit pistons,houston rockets,112,104,0.433,0.427,23,17,49,42,14,13,8.0,-8.0,1
0022100163,2021-11-10,chicago bulls,dallas mavericks,117,107,0.506,0.458,26,23,46,43,11,12,10.0,-10.0,1
0022100164,2021-11-10,charlotte hornets,memphis grizzlies,118,108,0.456,0.421,32,27,49,57,17,16,10.0,-10.0,1
0022100165,2021-11-10,new orleans pelicans,oklahoma city thunder,100,108,0.351,0.425,24,23,50,56,9,18,-8.0,8.0,0
0022100166,2021-11-10,sacramento kings,san antonio spurs,117,136,0.516,0.533,20,34,44,43,15,8,-19.0,19.0,0
0022100167,2021-11-10,denver nuggets,indiana pacers,101,98,0.429,0.476,19,22,39,48,10,12,3.0,-3.0,1
0022100168,2021-11-10,phoenix suns,portland trail blazers,119,109,0.521,0.484,27,24,39,46,10,14,10.0,-10.0,1
0022100169,2021-11-10,golden state warriors,minnesota timberwolves,123,110,0.471,0.411,23,30,53,40,16,17,13.0,-13.0,1
0022100170,2021-11-10,los angeles lakers,miami heat,120,117,0.5,0.417,26,26,50,47,22,14,3.0,-3.0,1
0022100171,2021-11-11,philadelphia 76ers,toronto raptors,109,115,0.455,0.438,29,25,39,47,12,11,-6.0,6.0,0
0022100172,2021-11-11,indiana pacers,utah jazz,111,100,0.448,0.47,19,22,53,37,10,12,11.0,-11.0,1
0022100173,2021-11-11,la clippers,miami heat,112,109,0.473,0.443,20,18,42,50,12,15,3.0,-3.0,1
0022100174,2021-11-12,charlotte hornets,new york knicks,104,96,0.433,0.387,25,17,49,51,12,19,8.0,-8.0,1
0022100175,2021-11-12,boston celtics,milwaukee bucks,122,113,0.49,0.449,22,23,53,39,16,11,9.0,-9.0,1
0022100176,2021-11-12,cleveland cavaliers,detroit pistons,98,78,0.476,0.367,27,18,40,43,19,23,20.0,-20.0,1
0022100177,2021-11-12,houston rockets,portland trail blazers,92,104,0.4,0.391,13,21,49,52,13,13,-12.0,12.0,0
0022100178,2021-11-12,memphis grizzlies,phoenix suns,94,119,0.378,0.489,19,28,59,46,15,12,-25.0,25.0,0
0022100179,2021-11-12,brooklyn nets,new orleans pelicans,120,112,0.5,0.489,27,26,34,43,12,15,8.0,-8.0,1
0022100180,2021-11-12,oklahoma city thunder,sacramento kings,105,103,0.424,0.4,13,20,52,49,10,13,2.0,-2.0,1
0022100181,2021-11-12,dallas mavericks,san antonio spurs,123,109,0.46,0.488,30,30,48,41,5,13,14.0,-14.0,1
0022100182,2021-11-12,atlanta hawks,denver nuggets,96,105,0.409,0.444,20,26,50,49,8,7,-9.0,9.0,0
0022100183,2021-11-12,chicago bulls,golden state warriors,93,119,0.436,0.484,18,27,38,47,20,16,-26.0,26.0,0
0022100184,2021-11-12,los angeles lakers,minnesota timberwolves,83,107,0.354,0.457,17,24,44,54,19,16,-24.0,24.0,0
